site,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC,Left,Right
site49,0.414860681,0.352983355,0.397827802,0.399224009,0.190068559,0.792311048,0.431071244,0.293092276,0.594491395,0.615071626,0.521767525,0.589217047,0.588653381,0.61758877,0.669616366,0.479712713,0.728988851,0.365571039,0.365571039
site50,0.582043344,0.677799179,0.37005437,0.366857848,0.937915748,0.659453266,0.20506328,0.368787677,0.692289,0.221328791,0.50107205,0.518977119,0.476067749,0.644874384,0.752475982,0.300357148,0.576040253,0.365571039,0.365571039
site51,0.452012384,1,0.806051286,0.298245571,0.573843435,1,0.80094935,0.221024587,1,0.841253576,0.493614256,0.257818453,0.742842111,0.608831857,0.722424776,0.571025,0.758138223,0.696072521,0.696072521
site52,0.558823529,0.649967312,0.559425992,0.253170168,0.366593566,0.764287038,0.486849495,0.395079982,0.718668291,0.241429077,0.262515113,0.637615552,0.712588624,0.751667571,0.837935602,0.832595792,0.796741638,0.365571039,0.365571039
site53,0.647058824,0.811392841,0.498991561,0.794684795,0.908072482,0.779206241,0.356680722,0.880169222,0.826782107,1,0.858115055,0.617860086,0.820915226,0.632114852,0.681778258,0.770516617,0.949916173,NA,NA
site54,0,0.342511624,1,0.428000008,0.616224339,0.661742465,0.527402688,0.031181466,0.821480214,0.510778397,0.471054443,0.392942564,0.260948896,0.493068557,0.683954414,0.677392523,0.601511091,0.475738199,0.365571039
site55,0.164086687,0.979048336,0.569588818,0.578946854,0.246475774,0.878809699,0.712447231,0.742049174,0.925275476,0.643058726,0.800130614,0.372330551,0.795040431,0.766475252,0.804878126,0.695432177,0.984240909,0.365571039,0
site56,0.656346749,0.850357805,0.405896129,0.415841778,0.09068748,0.617636866,0.333878332,0.374652299,0.687868752,0.151015397,0.303439869,0.19955723,0.399982051,0.547843504,0.689027352,0.601033894,0.815143129,0.365571039,0.365571039
site57,0.684210526,0.050426696,0.039875923,0.579642355,0.373703196,0,0.40379746,0.658101533,0.345541233,0.780075215,0.547310499,0.783037894,0.571886499,0.772131781,0.882221287,0.6409571,0.782763919,NA,NA
site58,0.591331269,0.456451046,0.606547805,0.514990522,0.338188698,0.445920838,0.161511945,0.403270755,0.544074078,0.492937675,0.25731328,0.294022096,0.43209601,0.506736644,0.56684759,0.430193801,0.741918647,0.365571039,0.365571039
site59,0.73993808,0.726257591,0.912412887,0.325517095,0.390774306,0.728446295,0.785706744,0,0.702661806,0.430213108,0.116435077,0.444421833,0.324934934,0.52044525,0.732838364,0.800774338,0.501040544,NA,NA
site60,0.205882353,0.413562522,0.844530674,0.123154104,0.463935367,0.269570713,0.28131151,0.167223024,0.565260068,0.582908297,0,0.526459218,0.490268093,0.429577778,0.376736165,0.418297078,0.462998441,0.365571039,0.365571039
site61,0.832817337,0.870328843,0.285027266,0.301199005,0.740255584,0.738108504,0.730590713,0.319830778,0.578541505,0.419724213,0.222708961,0.524554509,0.532240904,0.624241214,0.726749584,0.511148755,0.579079809,NA,NA
site63,0.758513932,0.820559413,0.856322892,0.833941489,1,0.858473705,0.152215185,0.638966156,0.815500951,0.739724213,0.632329606,0.416073456,0.777115305,0.421159343,0.283001862,0.427535679,0.758409348,0.365571039,0.365571039
site64,0.73993808,0.677141913,0.782312018,0.873024308,0.727855205,0.504884323,0.266983117,1,0.888693165,0.899623927,0.681737651,0.396877284,0.549986538,0.158770909,0.197067569,0.56086186,0.532035538,NA,NA
site65,0.430340557,0.371537932,0.53178179,0.589079799,0.404014711,0.657971568,0.450703218,0.533897405,0.694725061,0.774787482,0.72791403,0.605213857,0.505989999,0.551523444,0.650742543,0.619944444,0.726497898,0.365571039,0.365571039
site66,0.749226006,0.511458216,0.906051368,0.357304487,0.594262883,0.585003566,0.07127285,0.319483078,0.591653155,0.510062679,0.197725287,0.723439031,0.719813823,0.443869101,0.432912202,0.528471981,0.645222443,0.365571039,0.365571039
site67,0.921052632,0.745246245,0.441427615,0.586069627,0.549787406,0.73490106,0.185443039,0.604920018,0.788972568,0.47917264,0.71231467,0.520647226,0.767159034,0.53546929,0.506299746,0.586162424,0.825239325,0,0
site68,0.386996904,0.779089576,0.590380183,0.338081035,0.571583758,0.666755411,0.349624924,0.367976376,0.710480761,0.648513603,0.37211399,0.592119156,0.735572039,0.508728473,0.531190112,0.359818681,0.725207234,0.365571039,0.243714026
site69,0.656346749,0.457432375,0.319162217,0.313184175,0.369983082,0.738481175,0.230133606,0.299652299,0.315806034,0.141027933,0.162114226,0.675002721,0.512507853,0.578624299,0.596160414,0.098360131,0.489695694,0.365571039,0.365571039
site70,0.791021672,0.445315136,0.747323663,0.329251746,0.686521,0.62832385,0.470094932,0.332156928,0.706017713,0.659648999,0.139554302,0.560604038,0.443172935,0.637940341,0.747705742,0,0.557909887,0.365571039,0.365571039
site71,0.832817337,0.624750449,0.458495091,0.711829415,0.509114397,0.858952813,0.453938112,0.669830778,0.727366592,0.599498569,1,1,0.982344112,0.593460419,0.283845727,0.396904718,0.765049771,NA,NA
site73,0.990712074,0.476746147,0.870752739,0.465173458,0.106436197,0.909819196,1,0.576043102,0.719136262,0.638595994,0.756688671,0.877900165,1,1,1,0.794502275,0.876020025,NA,NA
site74,0.767801858,0,0.589759637,0.249783267,0.452279717,0.817748639,0.406065396,0.083449234,0.704492301,0.679749285,0.07765442,0.489064274,0.553102283,0.575439156,0.690293149,0.223779745,0.515153826,0.365571039,0.365571039
site75,0.883900929,0.409295565,0.857176297,0.339152857,0.381102246,0.795083661,0,0.251987706,0.600500548,0.669135032,0.03383972,0.498103066,0.397295851,0.549356335,0.58445753,0.167350565,0.527466673,0.365571039,0.365571039
