Individual	petiole_length	Area	Perimeter	Major	Minor	Circ.	AR	leaves_lustrous	drys_dark	Leaf_margin	mean_peduncle	mean_cyme	length_difference	State	County
ELS565	1.03661666666667	11.554	14.1155	5.04766666666667	2.90333333333333	0.725833333333333	1.742	0	0	2	NA	NA	NA	North Carolina	Burke
ELS567	2.1336	9.963	14.237	5.642	2.248	0.618	2.51	0	0	1	30	16	14	North Carolina	Transylvania
ELS567	2.1336	9.963	14.237	5.642	2.248	0.618	2.51	0	0	1	17	16	1	North Carolina	Transylvania
ELS586	1.21076666666667	40.4903333333333	28.954	10.8723333333333	4.73866666666667	0.608666666666667	2.294	0	0	1	38	22.5	15.5	Alabama	Butler
ELS587	1.104475	23.1475	19.9405	6.74675	4.3095	0.722	1.5655	0	1	1	21	18	3	Alabama	Butler
ELS607	1.789825	41.199	25.5135	8.981	5.18375	0.68625	1.84225	0	1	1	35	20.5	14.5	South Carolina	Hampton
ELS612	1.4666	30.789	22.637	7.88233333333333	4.95533333333333	0.752	1.59666666666667	0	0	0	21.3333333333333	18.25	3.08333333333333	South Carolina	Kershaw
ELS618	1.27451666666667	29.7668333333333	25.0963333333333	9.75583333333333	3.71033333333333	0.571166666666667	2.60016666666667	0	1	1	NA	NA	NA	North Carolina	Hertford
ELS619	0.979771428571429	28.035	23.6524285714286	8.934	3.96442857142857	0.626571428571429	2.26242857142857	0	1	1	NA	NA	NA	North Carolina	Hertford
ELS621	1.3198375	15.7855555555556	17.3997777777778	6.46133333333333	3.07988888888889	0.640555555555556	2.17522222222222	0	0	1	33	26.5	6.5	North Carolina	Hertford
ELS622	1.85886	19.3316	20.604	8.0182	2.9506	0.5516	2.7318	0	1	1	NA	NA	NA	North Carolina	Hertford
ELS624	1.48125	29.4345	25.5426666666667	9.95333333333333	3.69466666666667	0.557833333333333	2.68566666666667	0	1	0	NA	NA	NA	North Carolina	Hertford
ELS628	1.407175	20.607	20.4735	7.72725	3.377	0.61325	2.28625	0	1	0	NA	NA	NA	Virginia	Surry
ELS629	1.40512	26.027	21.2078	7.9096	4.0476	0.7	1.948	0	1	0	NA	NA	NA	Virginia	Surry
ELS630	1.27665	19.958	19.2325	7.1655	3.49325	0.66675	2.0515	0	1	0	24	20.5	3.5	Virginia	Surry
ELS631	1.24833333333333	21.051	20.7576666666667	7.72933333333333	3.38833333333333	0.605	2.25733333333333	0	1	1	NA	NA	NA	Virginia	Sussex
ELS645	2.12813333333333	43.9061666666667	29.287	10.3846666666667	5.29933333333333	0.629	1.9945	0	1	1	47.5	25.25	22.25	Delaware	Sussex
ELS653	1.25064	19.8994	19.4798	7.5552	3.2966	0.6468	2.2932	0	1	0	38	24	14	Georgia	Tattnall
ELS654	1.7586	23.456	22.45	9.1255	3.271	0.5845	2.791	0	1	1	NA	NA	NA	Georgia	Tattnall
ELS655	0.77195	8.311	11.5525	4.309	2.2895	0.7295	1.8865	0	1	0	NA	NA	NA	Georgia	Tattnall
ELS656	1.1059	18.946	17.7225	6.5685	3.66625	0.75625	1.7945	0	1	0	NA	NA	NA	Georgia	Tattnall
ELS657	0.8152	11.93725	13.59775	4.4875	3.35575	0.804	1.3425	0	1	0	NA	NA	NA	Georgia	Tattnall
ELS658	1.3207	21.3875	18.5486666666667	6.74683333333333	3.87733333333333	0.7445	1.78066666666667	0	1	0	54	30.2	23.8	Georgia	Tattnall
ELS659	1.0268	19.8263333333333	19.013	7.35666666666667	3.407	0.685	2.15933333333333	0	0	1	36	21.6	14.4	Georgia	Appling
ELS660	1.16495	26.64725	21.41675	7.7955	4.28275	0.7165	1.84575	0	0	1	33	22.3333333333333	10.6666666666667	Georgia	Appling
ELS661	0.9929	9.5405	13.8165	5.39425	2.19625	0.624	2.42575	0	0	1	12	15.25	-3.25	Georgia	Coffee
ELS663	1.256275	15.74	16.7175	6.39275	2.923	0.66575	2.176	0	0	1	NA	NA	NA	Georgia	Tift
ELS664	1.5201	20.9015	19.5305	7.1825	3.69	0.685	1.951	0	1	0	48	25	23	Georgia	Tift
ELS665	1.47492	18.1234	19.6934	7.6316	3.0088	0.5914	2.528	0	1	0	NA	NA	NA	Georgia	Tift
ELS666	1.8368	43.319	28.465	9.892	5.576	0.672	1.774	0	1	0	NA	NA	NA	Georgia	Tift
ELS667	1.58742	27.737	23.7222	8.7474	3.9234	0.6006	2.2566	0	1	0	41	21.3333333333333	19.6666666666667	Georgia	Tift
ELS668	1.7833	41.23	29.616	11.024	4.762	0.591	2.315	0	1	0	NA	NA	NA	Georgia	Tift
ELS669	1.5041	21.71225	21.42575	7.9765	3.442	0.58875	2.32925	0	1	0	NA	NA	NA	Georgia	Tift
ELS670	1.3046	25.5705	21.125	7.95875	4.094	0.72075	1.94875	0	1	0	NA	NA	NA	Georgia	Tift
ELS671	1.4596	28.658	22.007	7.698	4.74	0.744	1.624	0	0	1	NA	NA	NA	Georgia	Tift
ELS672	1.38888333333333	20.98	19.183	6.991	3.80116666666667	0.714666666666667	1.83966666666667	0	0	1	NA	NA	NA	Georgia	Tift
ELS673	1.1641	9.787	13.6746	5.1428	2.4038	0.6536	2.1362	0	1	1	NA	NA	NA	Georgia	Tift
ELS674	0.993585714285714	21.2415714285714	19.98	7.64771428571429	3.52971428571429	0.667	2.16471428571429	0	0	0	42	18	24	Georgia	Colquitt
ELS675	1.16225	31.5245	24.9005	9.79025	4.0995	0.639	2.38875	0	0	0	45	18	27	Georgia	Colquitt
ELS677	1.278975	12.72275	15.51725	6.10175	2.588	0.65625	2.32825	0	0	0	30	17	13	Georgia	Grady
ELS678	1.13663333333333	6.32933333333333	11.2216666666667	4.42866666666667	1.81466666666667	0.63	2.43933333333333	0	0	0	16	15	1	Georgia	Grady
ELS679	1.00675	16.6865	16.2095	5.8165	3.65	0.7975	1.595	0	0	1	19	14.3333333333333	4.66666666666667	Georgia	Grady
ELS680	1.27523333333333	21.8546666666667	19.8716666666667	7.15666666666667	3.901	0.696666666666667	1.85733333333333	0	0	1	NA	NA	NA	Georgia	Grady
ELS681	1.404925	23.08725	21.227	7.81975	3.7085	0.63625	2.139	0	0	0	58	30	28	Georgia	Grady
ELS682	1.26524	53.9656	30.1352	11.026	6.162	0.7388	1.7798	0	1	0	NA	NA	NA	Georgia	Lanier
ELS683	1.203025	14.17525	16.05925	6.22425	2.89375	0.68925	2.15525	0	1	0	NA	NA	NA	Georgia	Lanier
ELS684	1.32115	34.4271666666667	24.4341666666667	8.63616666666667	5.041	0.715833333333333	1.7445	0	1	0	30	27.8	2.2	Georgia	Lanier
ELS685	1.52326666666667	39.257	25.9263333333333	9.20766666666667	5.24566666666667	0.705333333333333	1.778	0	1	0	35.5	26.8	8.7	Georgia	Lanier
ELS686	1.22821666666667	28.2316666666667	22.4356666666667	8.4425	4.2405	0.703	1.98883333333333	0	1	0	NA	NA	NA	Georgia	Lanier
ELS687	1.1923	12.3875	14.3715	5.206	3.04675	0.755	1.72525	0	0	0	NA	NA	NA	Georgia	Charlton
ELS688	1.3067	7.76	11.88675	4.508	2.1855	0.692	2.059	0	0	0	34.5	10	24.5	Georgia	Charlton
ELS689	1.21711666666667	18.0378333333333	18.2746666666667	6.85083333333333	3.32116666666667	0.672333333333333	2.07466666666667	0	0	1	25	13.4	11.6	Georgia	Charlton
ELS690	1.319975	16.239	19.22225	7.43	2.76225	0.552	2.684	0	0	0	NA	NA	NA	Georgia	Charlton
ELS691	1.15656666666667	15.308	16.558	6.40733333333333	3.047	0.700333333333333	2.12533333333333	0	0	0	12	10.2	1.8	Georgia	Charlton
ELS692	0.91254	14.3466666666667	16.0223333333333	6.15133333333333	2.96933333333333	0.702666666666667	2.07366666666667	0	0	1	NA	NA	NA	Georgia	Screven
