Name	Species	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8	Ch9	Ch10
9212	satyrus.c	1	1	1	3	1	1	2	3	1	1
9213	satyrus.c	1	1	1	2	1	1	2	3	1	1
9216	satyrus.c	1	1	1	2	1	1	2	3	1	1
9218	satyrus.c	1	1	1	3	1	1	2	3	1	1
9219	satyrus.c	1	1	1	3	1	1	2	3	1	1
9220	satyrus.c	1	1	1	2	2	1	2	3	1	1
9221	satyrus.c	1	1	2	2	1	1	2	3	1	1
9223	satyrus.c	1	1	1	2	1	1	2	3	1	1
9224	satyrus.c	1	1	2	2	1	1	2	3	1	1
9226	satyrus.c	1	1	1	2	1	1	2	3	1	1
9227	satyrus.c	2	1	2	2	1	1	2	3	1	1
9228	satyrus.c	1	1	1	2	1	1	1	3	1	1
9229	satyrus.c	1	1	1	3	1	1	2	3	1	1
9230	satyrus.c	1	1	1	2	1	1	2	3	1	1
9232	satyrus.c	1	1	1	2	1	1	2	3	1	1
9233	satyrus.c	1	1	1	3	1	1	2	3	1	1
9234	satyrus.c	1	1	2	3	1	1	2	3	1	1
9235	satyrus.c	1	1	2	2	1	1	2	3	1	1
9236	satyrus.c	3	1	1	3	1	1	2	3	1	1
9237	satyrus.c	1	1	1	2	1	1	2	3	1	1
9240	satyrus.c	1	1	1	2	1	1	2	3	1	1
9241	satyrus.c	1	1	1	3	1	1	2	3	1	1
9242	satyrus.c	1	1	1	3	1	1	2	3	1	1
9243	satyrus.c	1	1	1	2	1	1	2	3	1	1
9244	satyrus.c	1	1	1	3	1	1	2	3	1	1
9245	satyrus.c	1	1	1	3	1	1	2	3	1	1
9246	satyrus.c	1	1	1	3	1	1	2	3	1	1
9248	satyrus.c	1	1	1	3	1	1	2	3	1	1
9249	satyrus.c	1	1	1	3	2	1	2	3	1	1
9272	satyrus.c	1	1	1	2	1	1	2	3	1	1
8358	satyrus.s	1	1	1	2	1	2	1	3	1	1
8395	satyrus.s	2	1	1	2	2	1	1	3	1	2
8396	satyrus.s	1	1	1	3	1	1	1	3	1	2
8397	satyrus.s	1	1	1	3	1	1	1	3	1	2
9203	satyrus.s	1	1	1	3	1	1	1	3	1	1
9205	satyrus.s	1	1	1	3	1	1	1	3	1	1
9210	satyrus.s	2	1	1	2	1	1	1	3	1	2
9214	satyrus.s	1	1	1	2	1	1	1	3	1	1
9225	satyrus.s	1	1	1	3	1	1	1	3	1	1
9239	satyrus.s	1	1	1	2	1	2	1	3	1	2
9247	satyrus.s	1	1	1	2	2	2	1	3	1	1
