ID;Species;Latitude;Longitude;Morphotype
9290;Polygonia faunus;48.470;-114.080;Contrasted
9291;Polygonia faunus;48.470;-114.080;NA
9292;Polygonia faunus;48.470;-114.080;NA
9293;Polygonia faunus;48.470;-114.080;Contrasted
9294;Polygonia faunus;47.876;-114.032;Contrasted
9295;Polygonia faunus;47.876;-114.032;Contrasted
9296;Polygonia gracilis gracilis;55.114;-121.019;NA
9297;Polygonia gracilis zephyrus;55.675;-121.645;NA
9298;Polygonia gracilis gracilis;54.963;-112.010;NA
9299;Polygonia gracilis gracilis;54.963;-112.010;NA
9300;Polygonia gracilis zephyrus;52.843;-119.256;NA
9301;Polygonia gracilis zephyrus;52.843;-119.256;NA
9302;Polygonia gracilis zephyrus;51.860;-119.299;NA
9303;Polygonia gracilis zephyrus;51.860;-119.299;NA
9304;Polygonia gracilis zephyrus;51.860;-119.299;NA
9305;Polygonia gracilis gracilis;51.860;-119.299;NA
9306;Polygonia gracilis zephyrus;53.208;-117.551;NA
9307;Polygonia gracilis zephyrus;53.208;-117.551;NA
9308;Polygonia gracilis zephyrus;53.208;-117.551;NA
9309;Polygonia gracilis gracilis;53.208;-117.551;NA
9310;Polygonia comma;42.450;-76.468;NA
9311;Polygonia interrogationis;42.463;-76.426;NA
9312;Polygonia progne;53.519;-113.521;NA
9313;Polygonia progne;53.519;-113.521;NA
9314;Polygonia progne;52.939;-114.288;NA
9315;Polygonia progne;52.939;-114.288;NA
9316;Polygonia progne;53.071;-114.087;NA
9317;Polygonia progne;52.174;-114.643;NA
9318;Polygonia progne;52.635;-114.624;NA
9319;Polygonia progne;52.635;-114.624;NA
9320;Polygonia progne;53.506;-113.613;NA
9321;Polygonia progne;53.506;-113.613;NA
9322;Polygonia progne;56.253;-117.288;NA
9323;Polygonia progne;56.248;-117.279;NA
9324;Polygonia progne;56.095;-117.572;NA
9325;Polygonia progne;53.987;-113.319;NA
9326;Polygonia progne;53.494;-114.176;NA
9327;Polygonia progne;52.635;-114.624;NA
9328;Polygonia progne;53.623;-113.958;NA
9329;Polygonia progne;53.616;-114.074;NA
9330;Polygonia progne;53.494;-114.176;NA
9331;Polygonia progne;53.071;-114.078;NA
9332;Polygonia progne;54.963;-112.010;NA
9333;Polygonia progne;54.963;-112.010;NA
9334;Polygonia progne;54.963;-112.010;NA
9335;Polygonia progne;54.963;-112.010;NA
9336;Polygonia progne;53.052;-114.740;NA
9337;Polygonia progne;52.229;-113.453;NA
9338;Nymphalis vaualbum;52.635;-114.624;NA
9339;Nymphalis vaualbum;54.963;-112.010;NA
9340;Nymphalis californica;44.424;-121.849;NA
9341;Aglais milberti;52.339;-115.742;NA
9342;Aglais milberti;50.883;-114.758;NA
9343;Nymphalis antiopa;53.494;-114.176;NA
9344;Nymphalis antiopa;52.939;-114.327;NA
9345;Polygonia progne;54.963;-112.010;NA
9346;Polygonia progne;54.963;-112.010;NA
9347;Polygonia progne;54.963;-112.010;NA
9348;Polygonia faunus;53.987;-113.319;Smeared
9349;Polygonia faunus;53.616;-114.074;Smeared
9350;Polygonia faunus;54.588;-114.159;Contrasted
9351;Polygonia faunus;54.588;-114.159;NA
9352;Polygonia gracilis gracilis;49.794;-119.345;NA
9353;Polygonia faunus;52.939;-114.288;Contrasted
9354;Polygonia faunus;52.939;-114.288;Smeared
9355;Polygonia faunus;53.071;-114.085;Contrasted
9356;Polygonia faunus;53.071;-114.086;NA
9357;Polygonia faunus;52.635;-114.624;NA
9358;Polygonia faunus;52.635;-114.624;Smeared
9359;Polygonia faunus;53.208;-117.551;Contrasted
9360;Polygonia faunus;53.208;-117.551;Contrasted
9361;Polygonia faunus;55.675;-121.645;Contrasted
9362;Polygonia faunus;55.675;-121.645;Smeared
9363;Polygonia faunus;54.963;-112.010;Contrasted
9364;Polygonia faunus;54.963;-112.010;Contrasted
9365;Polygonia faunus;53.052;-114.740;Contrasted
9366;Polygonia faunus;52.229;-113.453;Contrasted
9367;Polygonia faunus;51.860;-119.299;Contrasted
9368;Polygonia faunus;51.860;-119.299;Smeared
