Candidate species;Species revised;Individual ID;Bioinformatics ID;Locality;Latitude;Longitude;Altitude (m);Collection date;Collector;Sex;Developmental stage;Phylogenetic inference;Species delimitation;Divergence dating;Note;NCBI BioSample accession;Reference
Cheirogaleus crossleyi;Cheirogaleus crossleyi;106189;Cheirogaleuscro_106189;Ambatovy;-18,8268;48,3069;1144;03.10.2013;MB Blanco;male;adult;✓;;;Outgroup;SAMN39585059;This study
Cheirogaleus major;Cheirogaleus major;106245;Cheirogaleusmaj_106245;Marojejy;-14,4437;49,8273;295;11.11.2015;MB Blanco;female;adult;✓;;;Outgroup;SAMN39585060;This study
Cheirogaleus medius;Cheirogaleus medius;106354;Cheirogaleusmed_106354;Duke Lemur Center;NA;NA;NA;01.03.2015;DLC biobank;female;adult;✓;;;Outgroup/captivity;SAMN39585061;This study
Mirza zaza;Mirza zaza;DLC2316m;Mirzazaz_DLC2316m;Duke Lemur Center;NA;NA;NA;18.06.2012;DLC biobank;male;adult;✓;;✓;Outgroup/captivity;SAMN39585062;This study
Mirza zaza;Mirza zaza;DLC319m;Mirzazaz_DLC319m;Duke Lemur Center;NA;NA;NA;22.09.1995;DLC biobank;male;adult;✓;;✓;Outgroup/captivity;SAMN39585063;This study
Mirza zaza;Mirza zaza;DLC323f;Mirzazaz_DLC323f;Duke Lemur Center;NA;NA;NA;20.02.1998;DLC biobank;female;adult;✓;;;Outgroup/captivity;SAMN39585064;This study
M. arnholdi;M. arnholdi;AMB5.26;Marn_AMB5.26;Montagne d'Ambre;-12,5183;49,1758;614;22.11.2005;JF Ranaivoarisoa;female;adult;✓;GL & GC;;;SAMN39585065;This study
M. arnholdi;M. arnholdi;AMB5.41;Marn_AMB5.41;Montagne d'Ambre;-12,4773;49,2224;514;28.11.2005;JF Ranaivoarisoa;female;NA;✓;GL & GC;;;SAMN39585066;This study
M. arnholdi;M. arnholdi;BC49_2017;Marn_BC49_2017;Montagne d'Ambre;-12,5437;49,1464;NA;07.06.2017;B Le Pors & GM Sgarlata;male;adult;✓;GL & GC;✓;;SAMN39585067;This study
M. arnholdi;M. arnholdi;BD33_2017;Marn_BD33_2017;Montagne d'Ambre;-12,5085;49,1774;NA;12.06.2017;B Le Pors & GM Sgarlata;female;adult;;GL;;;SAMN39585068;This study
M. arnholdi;M. arnholdi;BD72_2017;Marn_BD72_2017;Montagne d'Ambre;-12,6444;49,1792;NA;24.06.2017;B Le Pors & GM Sgarlata;female;adult;;GL;;;SAMN39585069;This study
M. arnholdi;M. arnholdi;BE51_2017;Marn_BE51_2017;Montagne d'Ambre;-12,6723;49,1861;NA;30.06.2017;B Le Pors & GM Sgarlata;male;adult;✓;GL & GC;✓;;SAMN39585070;This study
M. arnholdi;M. arnholdi;BG27_2017;Marn_BG27_2017;Antsoroby;-12,7088;48,9665;NA;23.09.2017;B Le Pors & GM Sgarlata;female;adult;;GL;;;SAMN39585071;This study
M. arnholdi;M. arnholdi;BG76_2017;Marn_BG76_2017;Montagne d'Ambre;-12,7044;49,141;NA;28.08.2017;B Le Pors & GM Sgarlata;male;adult;;GL;;;SAMN39585072;This study
M. arnholdi;M. arnholdi;RMR154;Marn_RMR154;Montagne d'Ambre;-12,475;49,2183;NA;02.06.2005;RM Rasoloarison;male;adult;;GL;;;SAMN39585073;This study
M. arnholdi;M. arnholdi;RMR156;Marn_RMR156;Montagne d'Ambre;-12,475;49,2183;NA;05.06.2005;RM Rasoloarison;male;adult;✓;GL & GC;;;SAMN39585074;This study
M. arnholdi;M. arnholdi;RMR160;Marn_RMR160;Montagne d'Ambre;-12,475;49,2183;NA;08.06.2005;RM Rasoloarison;female;adult;;GL;;;SAMN39585075;This study
M. berthae;M. berthae;JMR045;Mber_JMR045;Lambokely;-19,87;44,645;80;19.03.2006;JM Ralison;male;subadult;✓;GL & GC;;;SAMN39585076;This study
M. berthae;M. berthae;Joerg73;Mber_Joerg73;Kirindy;-20,05;44,65;NA;NA;JU Ganzhorn;NA;NA;✓;GL & GC;✓;;SAMN39585077;This study
M. berthae;M. berthae;KIR06.30;Mber_KIR06.30_S12;Kirindy;-20,0651;44,6512;67;01.05.2006;JR Zaonarivelo;female;NA;✓;GL & GC;✓;;SAMN39585077/SAMN39585078;This study
M. berthae;M. berthae;KIR06.34;Mber_KIR06.34;Kirindy;-20,064;44,564;64;03.05.2006;JR Zaonarivelo;female;NA;✓;GL & GC;;;SAMN39585080;This study
M. berthae;M. berthae;RMR94;Mber_RMR94;Kirindy;-20,05;44,65;40;NA;RM Rasoloarison;NA;NA;✓;GL & GC;;;SAMN39585081;This study
M. berthae;M. berthae;t1327;Mber_t1327;Kirindy;-20,05;44,65;30;30.07.2006;PM Kappeler;female;NA;;GL;;;SAMN39585082;This study
M. berthae;M. berthae;t1329;Mber_t1329_S1234;Kirindy;-20,05;44,65;30;03.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585083/SAMN39585084/SAMN39585085/SAMN39585086;This study
M. berthae;M. berthae;t1330;Mber_t1330;Kirindy;-20,05;44,65;30;04.08.2006;PM Kappeler;male;NA;;GL;;;SAMN39585087;This study
M. berthae;M. berthae;t1331;Mber_t1331_S12;Kirindy;-20,05;44,65;30;09.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585088/SAMN39585089;This study
M. berthae;M. berthae;t1332;Mber_t1332;Kirindy;-20,05;44,65;30;09.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585090;This study
M. berthae;M. berthae;t1334;Mber_t1334;Kirindy;-20,05;44,65;30;09.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585091;This study
M. bongolavensis;M. ravelobensis;f301y03ata;Mbon_301y03_ata_S12;Maroakata;-16,0852;47,3027;NA;26.08.2003;G Olivieri;female;juvenile;✓;GL & GC;;;SAMN39585092/SAMN39585093;This study
M. bongolavensis;M. ravelobensis;f3y11hara;Mbon_3y11_hara_S12;Ankarahara;-15,55;47,48;NA;07.11.2011;B Randrianambinina & S Rasoloharijaona & R Rakotondravony;female;adult;✓;GL & GC;✓;;SAMN39585094/SAMN39585095;This study
M. bongolavensis;M. ravelobensis;f55y04bibo;Mbon_55y04_bibo_S12;Ambodimahabibo;-15,4957;47,4799;NA;09.08.2004;G Olivieri;female;adult;✓;GL & GC;;;SAMN39585096/SAMN39585097;This study
M. bongolavensis;M. ravelobensis;f07y13zana;Mbon_f07y13_zana_S12;Mahatazana;-16,1333;47,2667;NA;31.08.2013;E Zimmermann;female;adult;;GL;;;SAMN39585098/SAMN39585099;This study
M. bongolavensis;M. ravelobensis;f08y13zana;Mbon_f08y13_zana;Mahatazana;-16,1333;47,25;NA;31.08.2013;E Zimmermann;female;adult;✓;GL & GC;;;SAMN39585100;This study
M. bongolavensis;M. ravelobensis;f09y13zana;Mbon_f09y13_zana;Mahatazana;-16,1333;47,25;NA;31.08.2013;E Zimmermann;female;adult;✓;GL & GC;;;SAMN39585101;This study
M. bongolavensis;M. ravelobensis;f13y15sely;Mbon_f13y15_sely;Marosely;-15,65;47,5833;NA;13.07.2015;M Rina Evasoa & AF Hasiniaina;female;adult;✓;GL & GC;;;SAMN39585102;This study
M. bongolavensis;M. ravelobensis;f17y13zana;Mbon_f17y13_zana;Mahatazana;-16,1333;47,25;NA;01.09.2013;E Zimmermann;female;adult;✓;GL & GC;✓;;SAMN39585103;This study
M. bongolavensis;M. ravelobensis;m07y15sely;Mbon_m07y15_sely;Marosely;-15,65;47,5833;NA;09.07.2015;M Rina Evasoa & AF Hasiniaina;male;adult;;GL;;;SAMN39585104;This study
M. bongolavensis;M. ravelobensis;m22y13zana;Mbon_m22y13_zana_S12;Mahatazana;-16,1333;47,2667;NA;02.09.2013;E Zimmermann;male;adult;;GL;;;SAMN39585105/SAMN39585106;This study
M. boraha;M. simmonsi;RMR115;Mbor_RMR115;Sainte Marie;-16,9228;49,8747;68;10.10.2003;RM Rasoloarison;female;adult;✓;GL & GC;✓;;SAMN39585107;This study
M. boraha;M. simmonsi;RMR116;Mbor_RMR116;Sainte Marie;-16,9228;49,8747;68;10.10.2003;RM Rasoloarison;male;adult;✓;GL & GC;;;SAMN39585108;This study
M. boraha;M. simmonsi;RMR124;Mbor_RMR124;Sainte Marie;-16,9228;49,8747;68;10.10.2003;RM Rasoloarison;female;adult;✓;GL & GC;;;SAMN39585109;This study
M. boraha;M. simmonsi;RMR129;Mbor_RMR129;Sainte Marie;-16,9228;49,8747;68;10.10.2003;RM Rasoloarison;female;adult;✓;GL & GC;✓;;SAMN39585110;This study
M. danfossi;M. danfossi;m02y08befa;Mdan_02y08_befa_S12;Befandriana;-15,0681;48,5698;NA;08.11.2008;B Randrianambinina & S Rasoloharijaona & R Rakotondravony;male;adult;✓;GL & GC;✓;;SAMN39585111/SAMN39585112;This study
M. danfossi;M. danfossi;m42y04koa;Mdan_42y04_koa_S12;Marasakoa;-15,2632;48,2948;NA;18.07.2004;G Olivieri;male;adult;✓;GL & GC;;;SAMN39585113/SAMN39585114;This study
M. danfossi;M. danfossi;f44y04koa;Mdan_44y04_koa_S12;Marasakoa;-15,2632;48,2948;NA;19.07.2004;G Olivieri;female;adult;✓;GL & GC;✓;;SAMN39585115/SAMN39585116;This study
M. danfossi;M. danfossi;m83y04injo;Mdan_83y04_injo_S12;Mahatsinjo;-14,7877;47,7856;NA;03.09.2004;G Olivieri;male;adult;✓;GL & GC;;;SAMN39585117/SAMN39585118;This study
M. danfossi;M. danfossi;f90y04anji;Mdan_90y04_anji_S12;Anjiamangirana;-15,1527;47,7349;NA;21.09.2004;G Olivieri;female;adult;✓;GL & GC;;;SAMN39585119/SAMN39585120;This study
M. ganzhorni;M. murinus;00016A8577;Mgan_00016A8577;Mandena;-25,1;46,57;10;04.08.1998;JU Ganzhorn;male;adult;✓;GL & GC;✓;;SAMN39585121;This study
M. ganzhorni;M. murinus;00016A875E;Mgan_00016A875E;Mandena;-25,1;46,57;10;05.08.1998;JU Ganzhorn;female;adult;✓;GL & GC;✓;;SAMN39585122;This study
M. ganzhorni;M. murinus;00016A8A1D;Mgan_00016A8A1D_S12;Mandena;-25,1;46,57;10;05.08.1998;JU Ganzhorn;male;adult;;GL;;;SAMN39585123/SAMN39585124;This study
M. ganzhorni;M. murinus;00016A8EBC;Mgan_00016A8EBC;Mandena;-25,1;46,57;10;07.08.1998;JU Ganzhorn;female;adult;;GL;;;SAMN39585125;This study
M. ganzhorni;M. murinus;00072854DC;Mgan_00072854DC;Mandena;-25,1;46,57;10;21.01.2016;JU Ganzhorn & SJ Rakotondranary;NA;NA;✓;GL & GC;;;SAMN39585126;This study
M. ganzhorni;M. murinus;0007289B19;Mgan_0007289B19;Mandena;-25,1;46,57;10;21.01.2016;JU Ganzhorn & SJ Rakotondranary;female;NA;✓;GL & GC;;;SAMN39585127;This study
M. ganzhorni;M. murinus;00074C3B6F;Mgan_00074C3B6F;Mandena;-25,1;46,57;10;14.08.2015;JU Ganzhorn & SJ Rakotondranary;male;adult;;GL;;;SAMN39585128;This study
M. ganzhorni;M. murinus;00074C3F7D;Mgan_00074C3F7D;Mandena;-25,1;46,57;10;13.08.2015;JU Ganzhorn & SJ Rakotondranary;male;adult;;GL;;;SAMN39585129;This study
M. ganzhorni;M. murinus;00074C439B;Mgan_00074C439B;Mandena;-25,1;46,57;10;14.08.2015;JU Ganzhorn & SJ Rakotondranary;female;adult;✓;GL & GC;;;SAMN39585130;This study
M. ganzhorni;M. murinus;00074C54EC;Mgan_00074C54EC;Mandena;-25,1;46,57;10;12.08.2015;JU Ganzhorn & SJ Rakotondranary;male;adult;;GL;;;SAMN39585131;This study
M. gerpi;M. gerpi;f12y18fina;Mger_f12y18_fina;Sahafina;-18,8025;48,9419;61;15.09.2018;VST Rovanirina & A Rakotomanantena;female;adult;✓;GL & GC;✓;;SAMN31848081;van Elst et al. (2023)
M. gerpi;M. gerpi;f51y18sako;Mger_f51y18_sako;Ambodisakoana;-19,4966;48,903;NA;15.12.2018;R Rakotondravony & VST Rovanirina & ML Ramilison & H Rakotondramanana;female;juvenile;✓;GL & GC;;;SAMN31848120;van Elst et al. (2023)
M. gerpi;M. gerpi;f55y18bao;Mger_f55y18_bao;Antanambao;-19,6608;48,8492;11;20.12.2018;R Rakotondravony & VST Rovanirina & ML Ramilison & H Rakotondramanana;female;juvenile;✓;GL & GC;;;SAMN31848124;van Elst et al. (2023)
M. gerpi;M. gerpi;m10y18dobo;Mger_m10y18_dobo;Andobo;-18,8969;49,1236;13;20.12.2018;R Rakotondravony & VST Rovanirina & A Rakotomanatena;male;adult;✓;GL & GC;;;SAMN31848079;van Elst et al. (2023)
M. gerpi;M. gerpi;m17y18fina;Mger_m17y18_fina;Sahafina;-18,7967;48,9821;107;15.09.2018;VST Rovanirina & A Rakotomanantena;male;adult;✓;GL & GC;;;SAMN31848089;van Elst et al. (2023)
M. gerpi;M. gerpi;m44y18anja;Mger_m44y18_anja;Anjahamana;-18,3521;48,9681;329;30.10.2018;VST Rovanirina & A Rakotomanantena & H Rakotondramanana;male;adult;✓;GL & GC;✓;;SAMN31848116;van Elst et al. (2023)
M. griseorufus;M. griseorufus;00063935DE;Mgri_00063935DE;Tsimanampetsotsa;-24,0924;43,7785;30;18.04.2008;JU Ganzhorn & P Giertz;NA;NA;;GL;;;SAMN39585132;This study
M. griseorufus;M. griseorufus;0659-98ED;Mgri_065998ED_S1234;Beza Mahafaly;-23,6849;44,633;NA;02.10.2004;E Rasoazanabary;male;NA;✓;GL;;;SAMN39585133/SAMN39585134/SAMN39585135/SAMN39585136;This study
M. griseorufus;M. griseorufus;BEZ7.22;Mgri_BEZ7.22;Beza Mahafaly;-23,6941;44,6044;165;16.02.2007;JF Ranaivoarisoa;female;NA;✓;GL;✓;;SAMN39585137;This study
M. griseorufus;M. griseorufus;BOA8.5;Mgri_BOA8.5;Ankaboa;-25,1597;44,5746;45;14.11.2008;JF Ranaivoarisoa;female;NA;✓;GL;;;SAMN39585138;This study
M. griseorufus;M. griseorufus;BOA8.8;Mgri_BOA8.8;Ankaboa;-25,1611;44,5749;41;14.11.2008;JF Ranaivoarisoa;male;adult;✓;GL;;;SAMN39585139;This study
M. griseorufus;M. griseorufus;GNISA8.5;Mgri_GNISA8.5;Ankilelignisa;-25,0069;44,4064;178;16.11.2008;JF Ranaivoarisoa;male;NA;✓;GL;;;SAMN39585140;This study
M. griseorufus;M. griseorufus;GNISA8.7;Mgri_GNISA8.7;Ankilelignisa;-25,0047;44,4048;161;16.11.2008;JF Ranaivoarisoa;female;NA;✓;GL;;;SAMN39585141;This study
M. griseorufus;M. griseorufus;JMR007;Mgri_JMR007;Tongaenoro;-24,7367;44,03;110;21.02.2005;JM Ralison;female;adult;;GL;;;SAMN39585142;This study
M. griseorufus;M. griseorufus;JMR009;Mgri_JMR009;Antabore;-24,3983;43,8467;15;02.03.2005;JM Ralison;female;adult;✓;GL;;;SAMN39585143;This study
M. griseorufus;M. griseorufus;JMR015;Mgri_JMR015;Vohondava;-24,6867;46,4533;240;19.03.2005;JM Ralison;male;subadult;;GL;;;SAMN39585144;This study
M. griseorufus;M. griseorufus;JMR016;Mgri_JMR016;Andrendahy;-24,8683;46,3983;100;28.03.2005;JM Ralison;male;subadult;;GL;;;SAMN39585145;This study
M. griseorufus;M. griseorufus;LAH8.15;Mgri_LAH8.15;Manakaralahy;-24,4985;44,5644;192;21.03.2008;JF Ranaivoarisoa;male;adult;✓;GL;;;SAMN39585146;This study
M. griseorufus;M. griseorufus;LAH8.18;Mgri_LAH8.18;Manakaralahy;-24,4773;44,5773;210;22.03.2008;JF Ranaivoarisoa;female;juvenile;✓;GL;;;SAMN39585147;This study
M. griseorufus;M. griseorufus;NDOLO8.1;Mgri_NDOLO8.1;Tokondolo;-23,6701;44,0468;156;20.11.2008;JF Ranaivoarisoa;female;NA;✓;GL;;;SAMN39585148;This study
M. griseorufus;M. griseorufus;NDOLO8.3;Mgri_NDOLO8.3;Tokondolo;-23,669;44,0451;150;20.11.2008;JF Ranaivoarisoa;male;adult;✓;GL;;;SAMN39585149;This study
M. griseorufus;M. griseorufus;SANDRY8.12;Mgri_SANDRY8.12;Matsandry Atsimo;-25,2385;44,4919;20;12.11.2008;JF Ranaivoarisoa;male;adult;✓;GL;;;SAMN39585150;This study
M. griseorufus;M. griseorufus;SANDRY8.15;Mgri_SANDRY8.15_S12;Matsandry Atsimo;-25,2377;44,4909;10;12.11.2008;JF Ranaivoarisoa;male;adult;✓;GL;✓;;SAMN39585151/SAMN39585152;This study
M. griseorufus;M. griseorufus;TAK7.1;Mgri_TAK7.1;Ifotaka Mahavelo;-24,7623;46,1549;113;02.12.2007;R Andriantompohavana;female;NA;;GL;;;SAMN39585153;This study
M. griseorufus;M. griseorufus;TAK7.9;Mgri_TAK7.9;Ifotaka Mahavelo;-24,7605;46,1563;145;03.12.2007;R Andriantompohavana;male;adult;✓;GL;;;SAMN39585154;This study
M. griseorufus;M. griseorufus;VOLO8.01;Mgri_VOLO8.01_S12;Lavavolo;-24,6491;43,9491;19;12.03.2008;JF Ranaivoarisoa;female;NA;✓;GL;;;SAMN39585155/SAMN39585156;This study
M. jollyae;M. jollyae;LAKI5.20;Mjol_LAKI5.20_S12;Lakia;-21,5156;47,9115;NA;07.03.2005;R Randriamampionona;NA;juvenile;✓;GL & GC;✓;;SAMN31848132/SAMN39585157;van Elst et al. (2023)/this study
M. jollyae;M. jollyae;LAKI5.24;Mjol_LAKI5.24;Lakia;-21,4819;47,8948;NA;08.03.2005;R Randriamampionona;female;adult;✓;GL & GC;✓;;SAMN31848133;van Elst et al. (2023)
M. jonahi;M. jonahi;A12;Mjon_A12;Antanambe;-16,4523;49,7965;226;13.08.2017;D Schüßler;male;adult;✓;GL & GC;✓;;SAMN12641325;Poelstra et al. (2021)
M. jonahi;M. jonahi;A13;Mjon_A13;Antanambe;-16,4552;49,804;230;24.08.2017;D Schüßler;male;adult;;GL;;;SAMN12641326;Poelstra et al. (2021)
M. jonahi;M. jonahi;A23;Mjon_A23;Antanambe;-16,4602;49,8028;272;15.08.2017;D Schüßler;male;adult;✓;GL & GC;;;SAMN12641327;Poelstra et al. (2021)
M. jonahi;M. jonahi;A24;Mjon_A24;Antanambe;-16,4588;49,8029;263;22.08.2017;D Schüßler;male;adult;✓;GL & GC;;;SAMN12641328;Poelstra et al. (2021)
M. jonahi;M. jonahi;B13;Mjon_B13;Ambavala;-16,2023;49,5886;320;11.09.2017;D Schüßler;male;adult;✓;GL & GC;✓;;SAMN12641331;Poelstra et al. (2021)
M. jonahi;M. jonahi;B24;Mjon_B24;Ambavala;-16,1949;49,5978;282;13.09.2017;D Schüßler;male;adult;✓;GL & GC;;;SAMN12641332;Poelstra et al. (2021)
M. jonahi;M. jonahi;B34;Mjon_B34;Ambavala;-16,2051;49,5895;42;17.08.2017;D Schüßler;male;adult;✓;GL & GC;;;SAMN12641333;Poelstra et al. (2021)
