Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
1897;F53-03Anko;Ankoririka;adult;F;ravelobensis;3;rave;21;16,6;35,8;21,2;21,6;8,1;8;43,6;25,5;8,6;87,5;157;#NV;RR;NA;closed;NA;NA;NA;-16.27;47.036999999999999;NA;37782;12;NA
1964;63-15;JBA;adult;M;ravelobensis;3;rave;19;#NV;35,5;19,6;21,5;7;7,5;40;24;7;65;158;47;AK;NA;NA;NA;B 8;NA;-16.314793999999999;46.812100999999998;NA;42157;NA;NA
1966;65-15;JBA;adult;F;ravelobensis;3;rave;21;#NV;37,2;18,4;20,5;6,4;7,8;39,1;22;8,1;70;160;48;AK;NA;NA;NA;Nord est;NA;-16.314793999999999;46.812100999999998;NA;42157;NA;NA
1967;67-15;JBA;adult;F;ravelobensis;3;rave;15,6;#NV;36,3;21,4;18,8;5,6;6,2;40,1;24,5;9,3;75;140;49;AK;NA;NA;NA;D 7;NA;-16.314793999999999;46.812100999999998;NA;42159;NA;NA
1968;84-15;JBA;adult;F;ravelobensis;3;rave;19,1;#NV;35,2;20,7;18,9;6,7;8,5;39,9;22,9;10,7;80;160;50;AK;NA;NA;NA;B 2;NA;-16.314793999999999;46.812100999999998;NA;42173;NA;NA
1969;59-15;JBA;adult;F;ravelobensis;3;rave;14,3;#NV;#NV;22,3;21,1;5,7;9,6;37,1;22;7,3;62;168;52;AK;NA;NA;NA;D 3;NA;-16.314793999999999;46.812100999999998;NA;42157;NA;NA
1970;77-15;JBA;adult;F;ravelobensis;3;rave;17,9;#NV;34,9;21,7;19,8;5,1;5,3;41,5;22;10,3;81;144;52;AK;NA;NA;NA;A 8;NA;-16.314793999999999;46.812100999999998;NA;42161;NA;NA
1971;83-15;JBA;adult;F;ravelobensis;3;rave;17;#NV;37,1;19,7;20,7;7,4;8,2;39;23,1;9,7;87;145;53;AK;NA;NA;NA;D 6;NA;-16.314793999999999;46.812100999999998;NA;42173;NA;NA
1972;87-15;JBA;adult;M;ravelobensis;3;rave;18,8;#NV;35,1;23,2;20,7;6,2;8,8;42,5;22,9;11,1;80;149;54;AK;NA;NA;NA;Sud 4;NA;-16.314793999999999;46.812100999999998;NA;42175;NA;NA
1973;74-15;JBA;adult;F;ravelobensis;3;rave;18,8;#NV;33,9;19,9;19,1;5,2;#NV;38,6;#NV;9,4;87;140;56;AK;NA;NA;NA;D 8;NA;-16.314793999999999;46.812100999999998;NA;42161;NA;NA
1974;71-15;JBA;adult;M;ravelobensis;3;rave;19,5;#NV;#NV;19,5;21;8;6,7;41,1;23,4;9,1;85;140;56;AK;NA;NA;NA;G 4;NA;-16.314793999999999;46.812100999999998;NA;42159;NA;NA
1975;61-15;JBA;adult;M;ravelobensis;3;rave;21;#NV;38,7;18,7;21,9;4,7;9,3;43,1;21,5;10,3;79;160;56;AK;NA;NA;NA;D 4;NA;-16.314793999999999;46.812100999999998;NA;42157;NA;NA
1976;82-15;JBA;adult;M;ravelobensis;3;rave;19;#NV;37,1;22,1;22,1;6,2;7,7;37,3;21,9;10,4;90;159;58;AK;NA;NA;NA;A 2;NA;-16.314793999999999;46.812100999999998;NA;42171;NA;NA
1977;68-15;JBA;adult;F;ravelobensis;3;rave;15,1;#NV;35,2;22,4;19;7;7,7;38,9;24,5;9,7;78;155;59;AK;NA;NA;NA;N 6;NA;-16.314793999999999;46.812100999999998;NA;42159;NA;NA
1978;86-15;JBA;adult;F;ravelobensis;3;rave;16,4;#NV;35,8;22,2;20,8;6,5;7,7;39,1;22,9;9,3;93;152;59;AK;NA;NA;NA;E 8;NA;-16.314793999999999;46.812100999999998;NA;42175;NA;NA
1979;26-14;JBA;adult;F;ravelobensis;3;rave;18,7;#NV;37,7;24,6;19,6;5,7;7,5;40,5;#NV;8,8;90;144;59;AK;NA;NA;NA;Nord 2;NA;-16.314793999999999;46.812100999999998;NA;42175;NA;NA
1980;60-15;JBA;adult;M;ravelobensis;3;rave;18,3;#NV;38,2;25,7;24,4;6,6;8,2;36,7;23,1;9,8;68;150;62;AK;NA;NA;NA;A 2;NA;-16.314793999999999;46.812100999999998;NA;42157;NA;NA
1981;79-15;JBA;adult;F;ravelobensis;3;rave;19,3;#NV;#NV;25,2;20,2;6,3;7,9;42,1;25,6;11,7;95;169;71;AK;NA;NA;NA;F 6;NA;-16.314793999999999;46.812100999999998;NA;42171;NA;NA
1983;59-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,46;#NV;#NV;22,55;7,23;9,57;36,11;25,05;#NV;95;140;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1984;11-96;JBA;adult;M;ravelobensis;3;rave;#NV;12,77;34,98;22,2;22,19;6,67;9,97;38,83;23,35;#NV;86;150;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1986;18-96;JBA;adult;F;ravelobensis;3;rave;#NV;15,5;34,9;21,5;22,4;7,8;10;38,9;21,4;#NV;80;138;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1988;127-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,2;35;21,1;22,9;7,8;10,05;39,45;22;#NV;90;155;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1989;113-96;JBA;adult;M;ravelobensis;3;rave;#NV;15;36,2;21,1;#NV;7,2;11,2;43,1;25,9;#NV;75;165;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1992;17-96;JBA;adult;M;ravelobensis;3;rave;#NV;15,5;33,5;22,2;20,6;7,5;9,8;41;23,5;#NV;78;154;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1994;0-96;JBA;adult;M;ravelobensis;3;rave;#NV;16;34,5;21,5;20,5;7,5;9,3;43,4;25;#NV;78;155;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1995;16-96;JBA;adult;M;ravelobensis;3;rave;#NV;16,1;34,4;22,3;21;6,5;10,5;42,5;23,2;#NV;74;155;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1997;25-96;JBA;adult;F;ravelobensis;3;rave;#NV;14;38,6;20,3;22,5;#NV;11;42,5;23,4;#NV;95;162;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1998;15-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,6;#NV;19,1;#NV;5,8;8,3;39,35;20,1;#NV;78;134;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
1999;76-95;JBA;adult;F;ravelobensis;3;rave;#NV;13,3;37,5;22,9;20,1;7,4;8,5;40,9;22,3;#NV;85;157;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34867;NA;NA
2000;62-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,4;36;19,8;20,6;7,2;9,3;42,2;26,7;#NV;95;160;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2001;28-96;JBA;adult;M;ravelobensis;3;rave;#NV;15,6;34,5;22,5;20,4;6,2;10,5;43,6;24,2;#NV;86;154;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2002;109-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,6;35,8;19,5;21,2;6,6;9,6;41,4;20,5;#NV;93;152;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2003;24-96;JBA;adult;M;ravelobensis;3;rave;#NV;16,8;36,15;22,2;21;6;8,8;43;22,8;#NV;84;160;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2005;22-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,5;35,6;21,3;21,3;6,3;8,5;37,3;22,6;#NV;78;140;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2006;30-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,2;32,8;20,1;20,4;5,3;10,5;41,9;23,3;#NV;85;152;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2007;131-96;JBA;adult;F;ravelobensis;3;rave;#NV;16,4;35,6;21,1;22;7,2;9,8;39;23,9;#NV;95;142;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2008;144-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,1;36;22,3;21,5;7,6;9,3;43,7;23;#NV;90;160;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2009;61-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,4;36,11;#NV;22,23;6,11;10,58;38,35;25,54;#NV;105;175;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2010;60-96;JBA;adult;M;ravelobensis;3;rave;#NV;15,57;38,53;#NV;21,53;6,17;9,53;35,59;25,6;#NV;90;160;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2011;19-96;JBA;adult;M;ravelobensis;3;rave;#NV;17,21;#NV;20,35;20,6;6,1;9,7;40,3;21,4;#NV;85;140;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2012;21-96;JBA;adult;M;ravelobensis;3;rave;#NV;15,6;34,8;23,9;22,3;6,3;9,3;42,5;23,35;#NV;85;163;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2013;151-96;JBA;adult;F;ravelobensis;3;rave;#NV;14;38,6;24,3;22,6;7,9;10,5;43,9;24;#NV;#NV;160;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2014;80-96;JBA;adult;F;ravelobensis;3;rave;#NV;14,7;38,4;23,5;22,2;7,1;11,1;40,3;23,1;#NV;100;150;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2015;14-96;JBA;adult;M;ravelobensis;3;rave;#NV;15,5;34,5;20,1;22,7;7,5;10,2;42;24,5;#NV;81;162;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2016;146-96;JBA;adult;F;ravelobensis;3;rave;#NV;15,1;38;23,2;22,4;8;9,3;44;23,4;#NV;100;167;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2017;27-96;JBA;adult;M;ravelobensis;3;rave;#NV;15;35,4;22,5;22;6,9;9,6;42,9;23;#NV;78;166;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2018;103-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,3;35,7;20,7;22,1;8,3;11,1;35,8;23;#NV;80;153;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2019;134-96;JBA;adult;M;ravelobensis;3;rave;#NV;13,1;35,9;21;22,1;7,1;9,9;41,6;22,4;#NV;90;167;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2020;107-96;JBA;adult;M;ravelobensis;3;rave;#NV;13,3;35,7;21,7;21,1;6,7;9,4;36,7;23,2;#NV;80;165;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2021;64-96;JBA;adult;F;ravelobensis;3;rave;#NV;13,9;36;21,9;22,1;7,5;9,3;40,4;24,9;#NV;83;157;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2022;147-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,1;38,2;23,1;22,6;#NV;8,4;44,2;24,3;#NV;90;160;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2023;83-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,3;36,6;22,2;21,1;6,9;10,7;40,2;25,5;#NV;85;150;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2024;20-96;JBA;adult;M;ravelobensis;3;rave;#NV;17,5;#NV;25,1;21,04;7,1;10,35;42,8;23,8;#NV;88;171;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2025;82-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,5;35,8;23;20,3;7;8,8;42,35;20,2;#NV;90;161;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2026;152-96;JBA;adult;M;ravelobensis;3;rave;#NV;15;37,2;22;21,7;7,8;10,8;41,7;23,3;#NV;85;150;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2027;154-96;JBA;adult;M;ravelobensis;3;rave;#NV;14,8;35,9;22,8;21,8;7,5;9,1;42,2;23;#NV;85;150;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2028;79-96;JBA;adult;M;ravelobensis;3;rave;#NV;15,2;37,7;23,1;20,8;7,3;10,2;40,5;25,8;#NV;100;148;#NV;UR;NA;NA;NA;NA;NA;-16.314793999999999;46.812100999999998;NA;34868;NA;NA
2038;92.15;JBA;adult;M;ravelobensis;3;rave;19,9;#NV;34,4;22,7;19,3;4,9;9,3;36,4;24,4;8,8;80;142;50;AK;NA;NA;NA;G 2;NA;-16.314793999999999;46.812100999999998;NA;42188;NA;NA
2039;103-15;JBA;adult;M;ravelobensis;3;rave;22,5;#NV;38,6;21,9;19,7;6,4;7,2;42,2;24,3;9,8;82;160;51;AK;NA;NA;NA;A 5;NA;-16.314793999999999;46.812100999999998;NA;42209;NA;NA
2040;99-15;JBA;adult;M;ravelobensis;3;rave;22,9;#NV;36,6;23,7;17,7;6,1;6,9;42,2;26,1;9,5;89;135;56;AK;NA;NA;NA;Nord 3;NA;-16.314793999999999;46.812100999999998;NA;42207;NA;NA
2041;110-15;JBA;adult;F;ravelobensis;3;rave;21;#NV;35,5;20;18,3;6,2;8,3;42;24;9,2;86;127;46;AK;NA;NA;NA;Nord 4;NA;-16.314793999999999;46.812100999999998;NA;42243;NA;NA
2042;111-15;JBA;adult;F;ravelobensis;3;rave;19,9;#NV;34,6;19,9;#NV;#NV;7,1;43,1;24,4;9,1;88;140;49;AK;NA;NA;NA;E west;NA;-16.314793999999999;46.812100999999998;NA;42243;NA;NA
2043;107-15;JBA;adult;M;ravelobensis;3;rave;21;#NV;35,3;22,1;18,8;5,7;6,6;42,4;25,3;8,2;83;145;54;AK;NA;NA;NA;G ouest;NA;-16.314793999999999;46.812100999999998;NA;42219;NA;NA
2045;116-15;JBA;adult;M;ravelobensis;3;rave;21,9;#NV;35;20,2;19,2;6,4;9,8;36;23,9;7;85;155;46;AK;NA;NA;NA;E 7;NA;-16.314793999999999;46.812100999999998;NA;42250;NA;NA
2046;127-15;JBA;adult;F;ravelobensis;3;rave;20,7;#NV;33,3;23,6;19,6;5,3;8,1;36,1;23,9;7,2;78;148;51;AK;NA;NA;NA;Sud 5;NA;-16.314793999999999;46.812100999999998;NA;42276;NA;NA
2047;121-15;JBA;adult;M;ravelobensis;3;rave;24,5;#NV;35,3;23,6;20,8;6,4;9,8;43,7;23,4;10,4;75;155;65;AK;NA;NA;NA;F ouest;NA;-16.314793999999999;46.812100999999998;NA;42266;NA;NA
2048;118-15;JBA;adult;M;ravelobensis;3;rave;20,2;#NV;35,4;22,2;22;6,4;7,7;44,3;21,3;9,5;95;145;66;AK;NA;NA;NA;G 7;NA;-16.314793999999999;46.812100999999998;NA;42252;NA;NA
2049;131-15;JBA;adult;F;ravelobensis;3;rave;22,7;#NV;33,2;20,9;19,6;6,7;6,4;39,6;24,6;9,3;73;151;45;AK;NA;NA;NA;E 6;NA;-16.314793999999999;46.812100999999998;NA;42297;NA;NA
2050;129-15;JBA;adult;M;ravelobensis;3;rave;21,4;#NV;34,9;22,5;20,5;6,6;9,4;38,8;22,7;7,2;75;142;47;AK;NA;NA;NA;F 7;NA;-16.314793999999999;46.812100999999998;NA;42278;NA;NA
2051;133-15;JBA;adult;M;ravelobensis;3;rave;22,5;#NV;35,2;21,6;21,2;6,1;8;41;23,4;9,3;78;141;53;AK;NA;NA;NA;B 7;NA;-16.314793999999999;46.812100999999998;NA;42299;NA;NA
2052;128-15;JBA;adult;F;ravelobensis;3;rave;23,4;#NV;36,8;21,9;20,3;6,7;10;38,3;23,8;10;82;146;56;AK;NA;NA;NA;G 6;NA;-16.314793999999999;46.812100999999998;NA;42278;NA;NA
2053;136-15;JBA;adult;M;ravelobensis;3;rave;22,2;#NV;33,1;20,7;20;6,4;7;38,5;23,8;8,6;69;152;47;AK;NA;NA;NA;D 7;NA;-16.314793999999999;46.812100999999998;NA;42311;NA;NA
2071;23-15;JBB;adult;F;ravelobensis;3;rave;18,8;#NV;36,4;24,1;21;4,4;7,7;38,9;20;8,4;72;141;47;AK;NA;NA;NA;26;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2072;36-15;JBB;adult;F;ravelobensis;3;rave;16,3;#NV;36,1;22;#NV;7,6;7;38,8;21,5;9;74;149;50;AK;NA;NA;NA;45;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2073;25-15;JBB;adult;M;ravelobensis;3;rave;19,9;#NV;34,2;21,8;19,3;4,8;5,9;38,7;21,1;9,1;72;141;50;AK;NA;NA;NA;42;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2074;28-15;JBB;adult;M;ravelobensis;3;rave;16,3;#NV;35,6;20,1;18,9;6,7;7;39,4;19;9,7;76;155;53;AK;NA;NA;NA;46;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2075;42-15;JBB;adult;M;ravelobensis;3;rave;19,4;#NV;35,4;21,3;18,6;5,8;5,3;41,7;21,7;9,9;76;145;53;AK;NA;NA;NA;35;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2076;32-15;JBB;adult;F;ravelobensis;3;rave;20,8;#NV;34,7;21,5;18,4;5,8;5,1;40,3;19,3;9,1;72;160;54;AK;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;42161;NA;NA
2077;33-15;JBB;adult;M;ravelobensis;3;rave;15,4;#NV;34,3;21,3;20,6;5,8;5,7;37,7;21,9;9;73;148;55;AK;NA;NA;NA;55;NA;-16.1344722199999;46.811527779999999;NA;42161;NA;NA
2078;27-15;JBB;adult;M;ravelobensis;3;rave;16,7;#NV;36,2;19,5;17,9;5;7,4;37,3;19,5;9,9;78;152;55;AK;NA;NA;NA;62;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2079;34-15;JBB;adult;F;ravelobensis;3;rave;19,8;#NV;36,6;21,5;19,3;5,6;5,4;35,9;22,3;9,5;88;158;55;AK;NA;NA;NA;71;NA;-16.1344722199999;46.811527779999999;NA;42161;NA;NA
2080;38-15;JBB;adult;F;ravelobensis;3;rave;21,9;#NV;35,8;20,2;18,8;5,5;5,4;35,8;#NV;9,5;75;138;59;AK;NA;NA;NA;26;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2081;39-15;JBB;adult;F;ravelobensis;3;rave;19,4;#NV;36,1;21,3;18,6;6,4;#NV;40,8;22,9;9,6;78;158;61;AK;NA;NA;NA;21;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2082;24-15;JBB;adult;F;ravelobensis;3;rave;20,6;#NV;35,3;22,1;19,3;5,9;6,7;39,9;22,9;9,2;78;142;61;AK;NA;NA;NA;72;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2083;37-15;JBB;adult;F;ravelobensis;3;rave;16,9;#NV;35,4;21,4;17,9;4,5;#NV;37,8;20,6;9,4;74;140;63;AK;NA;NA;NA;14;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2084;31-15;JBB;adult;F;ravelobensis;3;rave;24,7;#NV;37,2;23,2;20,5;6,3;5,8;42,4;19,3;8,7;83;143;65;AK;NA;NA;NA;98;NA;-16.1344722199999;46.811527779999999;NA;42161;NA;NA
2085;22-15;JBB;adult;F;ravelobensis;3;rave;18,5;#NV;34,4;20;19,2;5;7,2;39,4;22;9,8;74;150;66;AK;NA;NA;NA;52;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2086;37-13;JBB;adult;M;ravelobensis;3;rave;19,9;#NV;36,6;21,9;21,2;5,1;#NV;39,2;21;8,6;82;141;70;AK;NA;NA;NA;50;NA;-16.1344722199999;46.811527779999999;NA;42161;NA;NA
2087;29-15;JBB;adult;M;ravelobensis;3;rave;20,8;#NV;36;21,2;20,8;6,6;5,6;42,2;22,6;9,5;86;152;70;AK;NA;NA;NA;38;NA;-16.1344722199999;46.811527779999999;NA;42161;NA;NA
2088;40-15;JBB;adult;F;ravelobensis;3;rave;19,6;#NV;37,4;22,5;18,9;5,3;5,7;38,7;20,9;8,7;80;145;73;AK;NA;NA;NA;24;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2089;26-15;JBB;adult;F;ravelobensis;3;rave;18,6;#NV;36,7;22;20,7;6,8;7,2;40,1;19,1;9,1;88;#NV;75;AK;NA;NA;NA;95;NA;-16.1344722199999;46.811527779999999;NA;42156;NA;NA
2090;41-15;JBB;adult;F;ravelobensis;3;rave;23,3;#NV;37,9;23,1;20,5;7,9;5,5;39,7;18,6;9,5;88;156;75;AK;NA;NA;NA;38;NA;-16.1344722199999;46.811527779999999;NA;42163;NA;NA
2092;138-96;JBB;adult;M;ravelobensis;3;rave;#NV;13,6;35,2;18,9;18,3;4,9;9,9;39,1;22,7;#NV;80;170;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2093;62-96;JBB;adult;F;ravelobensis;3;rave;#NV;13,4;35,6;22,7;20,3;5,3;11,7;34;24,6;#NV;85;160;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2094;47-96;JBB;adult;M;ravelobensis;3;rave;#NV;17,5;35,4;22,8;20,8;7,2;10,1;44,5;20,6;#NV;87;169;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2095;69-96;JBB;adult;F;ravelobensis;3;rave;#NV;14,6;#NV;23,9;21,5;6,3;9;37,3;24,1;#NV;92;145;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2096;67-96;JBB;adult;F;ravelobensis;3;rave;#NV;15,6;35,3;#NV;22;7,3;10,3;43,6;23,6;#NV;85;155;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2097;53-96;JBB;adult;F;ravelobensis;3;rave;#NV;16,4;37,5;21,5;20,5;6,8;9,5;42,85;22,7;#NV;86;165;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2098;91-96;JBB;adult;F;ravelobensis;3;rave;#NV;15,3;35,2;19,7;22,3;7,5;10,3;37,4;24,9;#NV;90;155;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;35234;NA;NA
2099;92-96;JBB;adult;F;ravelobensis;3;rave;#NV;14,1;35,6;19,1;20,4;7,4;10,3;42,5;25,1;#NV;80;152;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2102;53-95;JBB;adult;F;ravelobensis;3;rave;#NV;14,7;32,7;21,4;21,51;#NV;11,7;38,5;25,5;#NV;74;170;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34867;NA;NA
2103;54-96;JBB;adult;F;ravelobensis;3;rave;#NV;16,25;35,1;24,1;21,2;7,2;9,25;40,7;22,55;#NV;82;156;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2104;50-95;JBB;adult;M;ravelobensis;3;rave;#NV;15,5;33,9;21,4;21,2;7,5;9,8;38,1;25,5;#NV;70;155;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34867;NA;NA
2105;52-95;JBB;adult;F;ravelobensis;3;rave;#NV;14,1;35,5;22,2;19,4;7,5;10,5;44,5;24,3;#NV;73;165;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34867;NA;NA
2107;57-96;JBB;adult;F;ravelobensis;3;rave;#NV;17,2;37,5;22,5;23;6,4;10,2;45,5;25,7;#NV;87;172;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2108;32-96;JBB;adult;M;ravelobensis;3;rave;#NV;16,3;34,9;22,5;20,6;7,2;9,6;42,8;23,7;#NV;81;168;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2109;48-96;JBB;adult;M;ravelobensis;3;rave;#NV;15,6;36,12;22,2;21,2;7,2;9,4;39,7;23,9;#NV;75;155;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2110;45-96;JBB;adult;M;ravelobensis;3;rave;#NV;15,8;35;23,1;22,5;7,1;10,5;42,15;24,2;#NV;86;165;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2111;51-96;JBB;adult;F;ravelobensis;3;rave;#NV;16,2;36,4;#NV;22,7;7,5;10,5;43,9;24,8;#NV;86;172;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2112;54-95;JBB;adult;F;ravelobensis;3;rave;#NV;14,65;35,3;20;21,2;7,8;9,3;38,9;24,5;#NV;70;145;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34867;NA;NA
2113;87-96;JBB;adult;F;ravelobensis;3;rave;#NV;14,5;32,3;20,6;21,4;5,6;9,3;41;23,8;#NV;90;160;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2115;142-96;JBB;adult;F;ravelobensis;3;rave;#NV;15;38,8;24,1;21;8,1;9,5;37,1;23,3;#NV;80;155;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2116;38-96;JBB;adult;M;ravelobensis;3;rave;#NV;15,9;#NV;23,9;20,2;7,4;9,3;45;25,6;#NV;85;175;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
2117;56-96;JBB;adult;F;ravelobensis;3;rave;#NV;15;36,2;21,05;20,4;7,7;10;42,6;23,2;#NV;85;162;#NV;UR;NA;NA;NA;NA;NA;-16.1344722199999;46.811527779999999;NA;34868;NA;NA
