Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
37;M195;Mahasarika;adult;M;arnholdi;7;arno;19;#NV;32,9;19;20,9;6,9;9,5;37,7;#NV;8,7;80;120;#NV;HT;NA;NA;NA;NA;NA;-12.517117000000001;49.177911999999999;NA;NA;NA;NA
38;M199;Mahasarika;adult;M;arnholdi;7;arno;19,3;#NV;35;20,1;20,2;7,1;10;40;21,8;9,3;67;138;#NV;HT;NA;NA;NA;NA;NA;-12.515758;49.177726999999997;NA;NA;NA;NA
39;M176;Mahasarika;adult;M;arnholdi;7;arno;19,4;#NV;33,5;19,2;18,8;6,5;8,6;37,1;20,4;9,6;65;118;#NV;HT;NA;NA;NA;NA;NA;-12.521762000000001;49.171449000000003;NA;NA;NA;NA
40;M191;Mahasarika;adult;M;arnholdi;7;arno;19,7;#NV;32,6;20,2;19,8;6;8,8;37,9;20,5;9,3;74;122;#NV;HT;NA;NA;NA;NA;NA;-12.513538;49.185046999999997;NA;NA;NA;NA
41;M193;Mahasarika;adult;M;arnholdi;7;arno;19,7;#NV;34,4;19;21,2;7;8,6;38,8;21,3;9,4;80;131;#NV;HT;NA;NA;NA;NA;NA;-12.517458;49.179485;NA;NA;NA;NA
42;M200;Mahasarika;adult;M;arnholdi;7;arno;19,8;#NV;33,7;21,3;19,2;5,7;8,3;38,7;20,8;10,1;74;134;#NV;HT;NA;NA;NA;NA;NA;-12.515758;49.177726999999997;NA;NA;NA;NA
43;M188;Mahasarika;adult;M;arnholdi;7;arno;20;#NV;34;20,5;19,1;6,5;8,2;36,1;21,1;8,9;69;123;#NV;HT;NA;NA;NA;NA;NA;-12.512497;49.188681000000003;NA;NA;NA;NA
44;F173;Mahasarika;adult;F;arnholdi;7;arno;20,1;#NV;34,2;19,8;22,5;7,1;9,4;38,9;22,1;10,3;88;128;#NV;HT;NA;NA;NA;NA;NA;-12.522413;49.171658999999998;NA;NA;NA;NA
45;M194;Mahasarika;adult;M;arnholdi;7;arno;20,1;#NV;33,2;19,6;20,5;6,6;9,4;36,4;20,4;10;69;128;#NV;HT;NA;NA;NA;NA;NA;-12.517200000000001;49.178756;NA;NA;NA;NA
46;F179;Mahasarika;adult;F;arnholdi;7;arno;20,2;#NV;33,8;21,7;20,8;5,7;8,4;38,2;21;9,7;93;130;#NV;HT;NA;NA;NA;NA;NA;-12.513235999999999;49.185246999999997;NA;NA;NA;NA
