Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
8372	p	130.28	62.25	14.14	155.71	97.75	16.61	165.31	110.95	22.96	113.71	68.99	30.61	98.03	80.07	63.64	84.16	71.14	57.21
8373	p	152.06	89.31	11.02	165.91	119.08	32.73	180.7	136.88	39.91	116.18	75.23	29.79	91.62	78.56	63.29	81.87	70.59	56.67
8374	p	43.93	76.24	15.59	144.34	95.5	27.15	156.53	109.43	24.68	98.65	53.33	26.77	93.11	76.9	60.32	84.43	71.06	55.81
8376	p	149.11	69.77	6.33	160.91	112.37	21.85	170.8	121.63	26.9	95.9	50.57	21.16	95.41	81.12	62.79	75.01	64.77	51.16
8377	p	134.96	72.55	18.52	149.54	105.53	31.07	155.25	116.7	42.57	101.41	55.93	25.37	104.22	92.86	74.75	88.2	79.33	64.13
8378	p	144.25	68.49	7.94	158.77	95.22	9.29	160.48	118.31	40.79	114.07	58.3	18.4	86.86	75.16	59.74	76.69	67.81	54.34
8379	p	136.43	75.09	16.93	152.12	108.34	35.94	161.36	115.36	35.35	86.33	41.26	22.01	90.61	78.98	63.67	88.21	76.59	60.88
8380	p	146.69	71.42	4.55	157.82	93.03	5.09	165.73	110.05	10.32	78.38	38.65	22.41	87.9	83.12	69.34	77.06	72.8	60.78
8381	p	137.64	66.31	14.26	141.95	82.56	20.85	156.28	84.59	6.01	85.34	44.42	23.55	94.93	83.91	69.75	80.29	71.13	58.84
8384	p	165.54	96.02	22.06	177.77	119.51	33.35	196.4	139.15	40.7	157.26	83.49	19.07	142.51	107.22	74.23	118.66	89.74	63.66
8387	p	139.54	67.05	17.72	166.01	97.72	15.19	175.85	121.22	25.07	101.18	51.24	23.51	96.68	86.26	70.35	89.11	79.23	64.57
8391	p	141.01	61.22	9.29	157.15	83.2	3.85	169.47	98.6	5.03	84.12	37.68	18.05	91.46	86.09	74.16	76.99	72.59	61.17
9312	p	163.87	86.81	24.37	185.16	104.77	15.81	199.37	134.24	39.35	122.75	58.17	25.03	108.04	76.28	53.84	90.28	66.24	47.92
9313	p	163.9	90.5	16.56	196.88	128.72	29.36	198.56	125.03	15.28	117.45	56.29	22.3	114.9	88.78	65.7	98.55	77.04	57.47
9315	p	161.74	80.79	5.31	189.53	129.76	27.83	207.01	151.82	49.86	132.27	75.73	34.48	133.42	101.97	75.49	117.79	90.4	66.59
9316	p	164.16	87.34	20.93	198.04	131.88	42.02	212.04	157.82	71.89	144.88	85.69	37.5	115.4	84.86	58.41	94.13	7.68	50.52
9317	p	169.75	98.22	27.72	198.89	133.97	38.33	208.54	140.91	30.96	127.68	61.07	24.79	117.75	93.09	69.14	98.7	79.28	59.54
9318	p	181.61	121.12	54.12	194.32	126.47	45.09	201.8	138.16	40.28	165.5	100.89	37	142.94	113.22	87.94	123.76	98.54	76.41
9319	p	183.3	91	6.25	205.43	131.02	21.56	217.25	154.68	48.01	120.97	54.84	23.45	127.24	95.55	71.89	106.47	80.99	61.18
9321	p	171.75	80.4	8.78	187.64	114.84	9.36	210.59	151.83	45.59	138.41	65.81	23.66	118.53	90.35	67.12	106.06	81.91	61.34
9322	p	169.02	80.89	10.78	192.94	104.96	11.48	211.23	140.34	31.07	120.82	65.22	29.94	123.37	96.96	73.09	100.84	80.4	61.6
9323	p	179.59	84.48	1.62	193.01	119.66	15.39	196.56	132.24	33.05	124.99	53.53	15.84	117.47	92.61	70.4	103.34	82.58	63.19
9324	p	153.59	93.1	30.81	188.8	127.85	41.81	208.6	161.59	88.42	83.25	40.23	22.58	90.41	73.75	57.73	80.52	66.47	51.89
9325	p	176.83	78.71	3.23	198.54	105.59	4.94	197.23	110.6	7.24	96.82	38.28	17.33	116.87	97.06	78.26	100.04	83.89	67.47
9326	p	154.9	76.33	14.43	188.03	100.59	4.61	190.33	129.07	36.21	130.25	62	21.65	94.77	75.01	59.93	83.31	67.07	53.86
9327	p	162.09	63.02	2.7	193.76	115.03	20.64	196.93	107.55	4.87	87.9	33.88	16.49	91.18	75.41	59.62	73.31	61.85	49.2
9328	p	175.75	84.65	2.33	196.97	123.61	19.61	209.38	135.19	15.61	120.85	75.08	41.79	104.13	84.9	66.99	90.22	74.5	59.48
9330	p	163.11	85.2	14.87	189.42	120.88	23.84	192.02	113.78	14.31	99.22	51.62	30.59	89.5	71.57	54.61	80.04	65.43	50.69
9331	p	167.02	65.1	13.21	194.72	124.58	13.26	206.55	140.56	26.26	90.49	43.88	23.48	105.51	86.04	66.3	78.41	65.75	51.78
9333	p	167.33	79.7	4.72	191.67	107.11	2.34	200.91	132.97	19.69	115.05	58.15	27.56	92.37	75.15	56.9	72.28	60.03	46.25
